SeedWord,Word,Stem,Multiword,FirstDefinition,AdjectiveYesNo,SizeYesNo,OtherEntries,Relevant,Comment,OED_root_entry,OED_history,OED_history_simplified,RelatedTo,FirstAttestationItself,FirstAttestationRoot,Period
large,jumbo,jumbo,no,gigantic,yes,yes,no,least_relevant,,jumbo,"Of uncertain origin: possibly the second element in mumbo-jumbo n., a name applied (in English since the 18th cent.) to a West African divinity or bogy.",uncertain,none,1823,1823,Modern English
large,large,large,no,"big, abundant",yes,yes,no,most_relevant,one of the seed words,large,"< Anglo-Norman and Old French, Middle French large, Middle French larghe (French large ) (adjective) vast in extent (c1050), liberal in giving, generous (c1050), broad, wide (c1100), copious, abundant in quantity (first quarter of the 12th cent.), tolerant, indulgent, not rigorous (c1135), important (end of the 12th cent.), (of size) big (1212 or earlier), (of a class, category, etc.) extensive, comprehensive (end of the 13th cent. or earlier), (of clothes) loose-fitting (end of the 13th cent. or earlier), in Anglo-Norman also (of discourse or style) lengthy, long-winded, verbose (c1300 or earlier), (masculine noun) liberty, freedom (late 12th cent. in au large at liberty, unconfined), extent, width (c1200), generosity, liberality (beginning of the 15th cent.), generous person (although this is apparently first attested later than in English: second half of the 15th cent.), (adverb) widely, far and wide (c1260), extensively, comprehensively (first half of the 14th cent. or earlier) < classical Latin largus generous, bountiful, lavish, plentiful, copious, in post-classical Latin also (of discourse) lengthy (8th cent. in a British source), broad, wide (9th cent.), spacious, extensive (frequently from 12th cent. in British sources), free, at liberty, unconfined (12th cent. in a British source), unrestricted (from 13th cent. in British sources), of uncertain origin.",Latin,none,a1225/?c1225,a1225/?c1225,Middle English
large,liberal,NA,no,progressive,yes,no,yes,mid_relevant,"other entries: ""giving, generous""; ""abundant, profuse""",,,,,,,
large,massive,massive,no,large,yes,yes,no,most_relevant,,massive," < Middle French, French massif solid, heavy (1480, compare also Anglo-Norman mascif ; 1701 in architecture: see sense 1e; 1845 in mineralogy: see sense 2b), alteration (after adjectives in -if -ive suffix) of Old French, Middle French massis (c1150; also Anglo-Norman massiz ) < a vulgar Latin derivative of classical Latin massa mass n.2 (also represented by Italian massicio (13th cent.)).",Latin,none,c1425,c1425,Middle English
large,monumental,NA,no,"impressive, overwhelming",yes,no,no,least_relevant,,,,,,,,
large,mountainous,mountain,no,hilly; large,yes,no,no,least_relevant,"even though ""large"" was listed; the first synonym is related to landscape",mountain,"< Anglo-Norman montain, montaine, mountaine, muntaine, muntaigne, etc., and Old French montaigne, montangne, etc. (early twelfth cent.; Middle French, French montagne ; in figurative sense from mid 17th cent.) < post-classical Latin montanea (feminine) mountain region (12th cent.), use as noun of feminine singular (or perhaps originally of neuter plural) of montaneus of or belonging to mountains (1324 in a British source; conjectured for a text dated 12th cent. or earlier), alteration (after campaneus of or belonging to fields, plains) of classical Latin montānus of or belonging to mountains (with use as noun compare classical Latin montāna , neuter plural, and post-classical Latin montana , feminine singular (Vetus Latina; after ancient Greek ὀρεινή mountain)) < mont- , mōns mount n.1 + -ānus -an suffix.",Latin,none,1598,c1275,Middle English
large,plentiful,NA,no,abundant,yes,no,no,least_relevant,,,,,,,,
large,populous,NA,no,packed with inhabitants,yes,no,no,most_relevant,,,,,,,,
large,roomy,NA,no,having ample space,yes,no,no,mid_relevant,,,,,,,,
large,sizable,size,no,"considerable, large",yes,yes,no,most_relevant,,sizable,"Old French sise, cise, aphetic forms of assise assize n. probably due to l'assise being apprehended as la sise. Compare medieval Latin sisa, cisa, Middle Dutch sise, sijs, Middle Low German sise, Middle Danish sise, sisæ. The currency of the form in English may have been subsequently increased by assize being taken as a size.",French,sizable;oversize,1613,a1300,Middle English
large,spacious,NA,no,"extensive, expansive",yes,no,no,most_relevant,,,,,,,,
large,stupendous,NA,no,"wonderful, amazig",yes,no,no,least_relevant,,,,,,,,
large,substantial,substant,no,"important, ample",yes,yes,yes,most_relevant,"other entries: ""material, real""; ""rich""",substantial,Of multiple origins. Partly a borrowing from French. Partly a borrowing from Latin.,Latin,none,1340,1340,Middle English
large,super,NA,no,excellent,yes,no,no,mid_relevant,,,,,,,,
large,sweeping,NA,no,wide-ranging,yes,no,no,mid_relevant,,,,,,,,
large,thumping,NA,no,dull crash; dull sound,yes,no,no,mid_relevant,,,,,,,,
large,tidy,NA,no,"clean, neat",yes,no,yes,mid_relevant,"other entries: ""considerable""; ""make neat and orderly"" (verb)",,,,,,,
large,vast,vast,no,very large; wide in range,yes,yes,no,most_relevant,,vast,"< Latin vastus void, immense, extensive, etc., or French vaste (1611), Italian vasto, Spanish vasto, Portuguese vasto.",Latin,none,1585,1585,Modern English
large,voluminous,volume,no,"big, vast",yes,yes,no,least_relevant,,volume,"< Old French volum, volume, volumme (French volume, = Italian volume, Portuguese volume, Spanish volumen), < Latin volūmen coil, wreath, roll, etc., < volvĕre to roll. The chief senses of the English word also exist in French.",Latin,none,1612,1382,Middle English
large,whopping,whop,no,enormous,yes,yes,no,least_relevant,,wap,"whop is related to ""wap"": Of obscure origin; compare swap v. and whap , whop v.",uncertain,none,a1625,c1440,Middle English
large,wide,NA,no,"expansive, roomy",yes,no,yes,most_relevant,"other entry: ""off-course""",,,,,,,
small,baby,babe,no,miniature,yes,yes,yes,mid_relevant,"other entries: ""infant"" (noun); ""treat like a child"" (verb); hard one but the 'first meaning listed' criterion gives a size-related adjective...",babe,"Of uncertain origin. Probably an imitative or expressive formation. Perhaps formed within English, by clipping or shortening.",uncertain,none,1750,c1400,Middle English
small,bantam,bantam,no,small,yes,yes,no,mid_relevant,,bantam,"Supposed to be named < Bantam in the north-west of Java, whence perhaps the fowls were imported to Europe, though, according to Crawford, originally from Japan.",Javanese or Japanese,none,1749,1749,Modern English
small,bitty,bit,no,"as in small, as in tiny, as in Lilliputian, as in pintsize, as in pintsized, as in teensy, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,bit,"Common Germanic: Old English bita weak masculine, morsel, bit = Old Frisian bita , Old Saxon *bito , (Middle Dutch bete , Dutch beet bit, morsel), Old High German bizzo biting, Middle High German bizze , modern German bisse , bissen piece bitten off, bit, Old Norse biti bit, mouthful (Swedish bit , Danish bid bit, morsel) < Germanic *biton- weak masculine, < bítan to bite. As to the relation of this to bit n.1, see that word; both became in Middle English bĭte , modern English bit , so that the two words can now be separated only in sense. In the strict sense of ‘the portion bitten off,’ the later bite n. is now used.",Germanic,bitty;bitsy;itsy-bitsy;itty-bitty,1892,c893,Old English
small,cramped,NA,no,"congested, overcrowded",yes,no,no,most_relevant,,,,,,,,
small,diminutive,diminutive,no,"tiny, petite",yes,yes,no,mid_relevant,,diminutive,"< French diminutif, -ive (14th cent. in Godefroy Suppl.), < Latin dīminūtīvus, dēminūtīvus, < dīminūtus, dēminūtus, past participle of dī-, dēminuĕre to lessen. The noun use is found in English earlier than the adjective.",French,none,1579,1398,Middle English
small,humble,NA,no,"meek, unassuming",yes,no,yes,least_relevant,"other entries: ""poor, inferior"", ""shame, put down"" (verb)",,,,,,,
small,immature,NA,no,"young, inexperienced",yes,no,no,least_relevant,,,,,,,,
small,inadequate,NA,no,"defective, insufficient, incompoetent",yes,no,no,least_relevant,,,,,,,,
small,inconsequential,NA,no,insignificant,yes,no,no,least_relevant,,,,,,,,
small,inconsiderable,NA,no,petty,yes,no,no,least_relevant,,,,,,,,
small,insufficient,NA,no,not enough; lacking,yes,no,no,least_relevant,,,,,,,,
small,limited,NA,no,"restricted, definite",yes,no,yes,most_relevant,"other entry: ""inadequate, short""",,,,,,,
small,little,little,no,"small in size, amount",yes,yes,yes,least_relevant,"other entries: ""not important""; ""narrow-minded""; ""infrequently, not much""; ""small amount of something"" (noun)",little,A word inherited from Germanic.,Germanic,none,OE/lOE/c1225,OE/lOE/c1225,Old English
small,meager,meager,no,"small, inadequate; poor",yes,yes,no,most_relevant,"other entry: ""very thin""",meagre,"< Anglo-Norman megre, meigre, meger and Middle French, French maigre (early 13th cent. in Old French; late 12th cent. as meigre ) < classical Latin macr- , macer , related to classical Latin maciēs leanness ",Latin,none,a1398,a1398,Middle English
small,microscopic,microscop,no,"tiny, almost undetectable",yes,yes,no,most_relevant,,microscope,"< Italian microscopio (J. Faber 1625: see Let. 13 Apr. in Galileo Opere (1903) XIII. 264), apparently < post-classical Latin microscopium (attributed to Demiscianus 1614) < micro- micro- comb. form + -scopium (in telescopium telescope n.). ",Italian,none,1742,1648,Modern English
small,mini,mini,no,"as in little, as in miniature, as in miniscule, as in baby, as in small, and so on",yes,yes,as in,mid_relevant,all separated meanings relate to size,miniature,Italian,Italian,min-,1963,a1586,Modern English
small,miniature,miniature,no,tiny,yes,yes,yes,most_relevant,"other entry: ""tiny thing"" (noun)",miniature,Italian,Italian,min-,1714,a1586,Modern English
small,minuscule,minuscule,no,very small,yes,yes,no,most_relevant,,miniscule,"< French minuscule, adjective (1634 in sense B. 1, 1859 in sense B. 2) and noun (1690) < classical Latin minusculus somewhat smaller, rather small < minus minus adj. + -culus -cule suffix.",Latin,min-,1704,1701,Modern English
small,minute,minute,no,very small,yes,yes,yes,mid_relevant,"other entries: ""unimportant""; ""exact, precise""; ""brief time period"" (noun)",minute," < classical Latin minūtus small in size or amount, of little importance, finely divided, subtle, fine, involving detailed knowledge, spec. use of past participle of minuere to make small, diminish (see minuend n.). ",Latin,min-,?1440,?1440,Middle English
small,modest,NA,no,shy,yes,no,yes,most_relevant,"other entry: ""limited, ordinary""",,,,,,,
small,narrow,NA,no,"confined, restricted",yes,no,yes,most_relevant,"other entries: ""intolerant, small-minded""; ""cheap, stingy""; ""reduce, simplify""",,,,,,,
small,paltry,NA,no,poor; worthless,yes,no,no,most_relevant,,,,,,,,
small,petite,petite,no,small,yes,yes,no,mid_relevant,,petite,French,French,none,1766,French,Modern English
small,petty,NA,no,"trivial, insignificant",yes,no,no,mid_relevant,,,,,,,,
small,picayune,NA,no,trivial,yes,no,no,least_relevant,,,,,,,,
small,piddling,NA,no,insignificant,yes,no,no,least_relevant,,,,,,,,
small,pint-sized,NA,yes,"as in miniature, as in miniscule, as in pocket, as in puny, as in short, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,,,,,,,
small,pitiful,NA,no,in bad shape; poor,yes,no,no,least_relevant,,,,,,,,
small,pocket-sized,NA,yes,"as in short, as in small, as in diminutive",yes,yes,as in,least_relevant,all separated meanings relate to size,,,,,,,
small,poor,NA,no,lacking sufficient money,yes,no,yes,most_relevant,"other entries: ""deficient, inadequate""; ""weak, unfertile""; ""unfortunate, unhappy""",,,,,,,
small,puny,pune,no,"small, insignificant",yes,yes,no,least_relevant,,puny,"French, variant of puisne",French,none,1548,1548,Middle English
small,runty,runt,no,"as in short, as in small, as in stunted",yes,yes,as in,least_relevant,all separated meanings relate to size,runt,Of uncertain origin. Perhaps a borrowing from Dutch.,uncertain,none,1807,1549,Middle English
small,scanty,NA,no,inadequate,yes,no,no,mid_relevant,,,,,,,,
small,scrubby,NA,no,shabby,yes,no,no,least_relevant,,,,,,,,
small,short,NA,no,abridged,yes,no,yes,most_relevant,"other entries ""not tall""; ""insufficient""; ""abrupt, discourteous""; ""crumbly""; ""abruptly""",,,,,,,
small,shrimp,NA,no,"as in puny, as in small, as in stunted, as in inconsequential, as in pipsqueak, as in run, as in pygmy, and so on",yes,no,as in,mid_relevant,many entries do not relate to size,,,,,,,
small,slight,slight,no,"insignificant, small",yes,yes,yes,most_relevant,"other entries: ""thin, small in build""; ""insult, disrespect"" (noun); ""offend, insult"" (verb)",slight,Scandinavian,Scandinavian,none,a1400,a1400,Middle English
small,small,small,no,"tiny in size, quantity",yes,yes,no,most_relevant,"one of the seed words; picked ""other entries"" = no here because of its seed word status (should be included nonetheless)",small,Germanic,Germanic,none,eOE/OE/a1200,eOE/OE/a1200,Old English
small,small-scale,NA,yes,"as in miniature, as in minuscule, as in small",yes,yes,as in,most_relevant,all separated meanings relate to size,,,,,,,
small,stunted,NA,no,kept from growing,yes,no,no,least_relevant,,,,,,,,
small,teensy,teens,no,tiny,yes,yes,no,least_relevant,,tine,unknown,unknown,teeny;teensy-weensy;tiny,1856,a1400-50,Middle English
small,teeny,teen,no,small,yes,yes,no,least_relevant,,tine,unknown,unknown,teeny;teensy-weensy;tiny,1594,a1400-50,Middle English
small,toy,NA,no,entertainment article,no,no,yes,mid_relevant,"other entry: ""to play with""",,,,,,,
small,trifling,NA,no,"insignificant, worthless",yes,no,no,mid_relevant,,,,,,,,
small,trivial,NA,no,not important,yes,no,no,least_relevant,,,,,,,,
small,undersized,size,yes,little,yes,yes,no,least_relevant,,size,"Old French sise, cise, aphetic forms of assise assize n. probably due to l'assise being apprehended as la sise. Compare medieval Latin sisa, cisa, Middle Dutch sise, sijs, Middle Low German sise, Middle Danish sise, sisæ. The currency of the form in English may have been subsequently increased by assize being taken as a size.",French,none,1657,a1300,Middle English
small,unpretentious,NA,no,"simple, honest",yes,no,no,least_relevant,,,,,,,,
small,wee,wee,no,"very small, tiny",yes,yes,no,mid_relevant,,wee,English,English,wee;pee-wee,a1525,a1400,Middle English
small,young,NA,no,immature,yes,no,no,most_relevant,,,,,,,,
tiny,bitsy,bits,no,"as in tiny, as in wee, as in Lilliputian, as in pintsize, as in pintsized, as in teensy, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,bit,"Common Germanic: Old English bita weak masculine, morsel, bit = Old Frisian bita , Old Saxon *bito , (Middle Dutch bete , Dutch beet bit, morsel), Old High German bizzo biting, Middle High German bizze , modern German bisse , bissen piece bitten off, bit, Old Norse biti bit, mouthful (Swedish bit , Danish bid bit, morsel) < Germanic *biton- weak masculine, < bítan to bite. As to the relation of this to bit n.1, see that word; both became in Middle English bĭte , modern English bit , so that the two words can now be separated only in sense. In the strict sense of ‘the portion bitten off,’ the later bite n. is now used.",Germanic,bitty;bitsy;itsy-bitsy;itty-bitty,1905,c893,Old English
tiny,bitty,bit,no,"as in small, as in tiny, as in wee, as in Lilliputian, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,bit,"Common Germanic: Old English bita weak masculine, morsel, bit = Old Frisian bita , Old Saxon *bito , (Middle Dutch bete , Dutch beet bit, morsel), Old High German bizzo biting, Middle High German bizze , modern German bisse , bissen piece bitten off, bit, Old Norse biti bit, mouthful (Swedish bit , Danish bid bit, morsel) < Germanic *biton- weak masculine, < bítan to bite. As to the relation of this to bit n.1, see that word; both became in Middle English bĭte , modern English bit , so that the two words can now be separated only in sense. In the strict sense of ‘the portion bitten off,’ the later bite n. is now used.",Germanic,bitty;bitsy;itsy-bitsy;itty-bitty,1892,c893,Old English
tiny,diminutive,diminutive,no,"tiny, petite",yes,yes,no,least_relevant,,diminutive,"< French diminutif, -ive (14th cent. in Godefroy Suppl.), < Latin dīminūtīvus, dēminūtīvus, < dīminūtus, dēminūtus, past participle of dī-, dēminuĕre to lessen. The noun use is found in English earlier than the adjective.",French,none,1579,1398,Middle English
tiny,infinitesimal,infinite,no,small,yes,yes,no,least_relevant,,infinitesimal,"< modern Latin infīnītesimus, < Latin infīnītus (compare centesimus hundredth, millesimus thousandth): compare French infinitésime (1752 in Dict. Trévoux), infinitésimal (1762 in Dict. Acad.).",Latin,none,1655,1655,Modern English
tiny,insignificant,NA,no,not important; of no consequence,yes,no,no,most_relevant,,,,,,,,
tiny,itsy-bitsy,bits,no,"as in miniature, as in miniscule, as in pocket, as in tiny, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,bit,"Common Germanic: Old English bita weak masculine, morsel, bit = Old Frisian bita , Old Saxon *bito , (Middle Dutch bete , Dutch beet bit, morsel), Old High German bizzo biting, Middle High German bizze , modern German bisse , bissen piece bitten off, bit, Old Norse biti bit, mouthful (Swedish bit , Danish bid bit, morsel) < Germanic *biton- weak masculine, < bítan to bite. As to the relation of this to bit n.1, see that word; both became in Middle English bĭte , modern English bit , so that the two words can now be separated only in sense. In the strict sense of ‘the portion bitten off,’ the later bite n. is now used.",Germanic,bitty;bitsy;itsy-bitsy;itty-bitty,1938,c893,Old English
tiny,itty-bitty,bit,no,"as in miniature, as in tiny, as in wee, as in Lilliputian, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,bit,"Common Germanic: Old English bita weak masculine, morsel, bit = Old Frisian bita , Old Saxon *bito , (Middle Dutch bete , Dutch beet bit, morsel), Old High German bizzo biting, Middle High German bizze , modern German bisse , bissen piece bitten off, bit, Old Norse biti bit, mouthful (Swedish bit , Danish bid bit, morsel) < Germanic *biton- weak masculine, < bítan to bite. As to the relation of this to bit n.1, see that word; both became in Middle English bĭte , modern English bit , so that the two words can now be separated only in sense. In the strict sense of ‘the portion bitten off,’ the later bite n. is now used.",Germanic,bitty;bitsy;itsy-bitsy;itty-bitty,1938,c893,Old English
tiny,Lilliputian,lilliput,no,tiny,yes,yes,no,least_relevant,,lilliputian,"< the name of Lilliput, an imaginary country in Swift's Gulliver's Travels (1726), peopled by pygmies six inches high",English,none,1726,1726,Modern English
tiny,little,little,no,"small in size, amount",yes,yes,yes,least_relevant,"other entries: ""not important""; ""narrow-minded""; ""infrequently, not much""; ""small amount of something"" (noun)",little,A word inherited from Germanic.,Germanic,none,OE/lOE/c1225,OE/lOE/c1225,Old English
tiny,microscopic,microscope,no,"tiny, almost undetectable",yes,yes,no,most_relevant,,microscope,"< Italian microscopio (J. Faber 1625: see Let. 13 Apr. in Galileo Opere (1903) XIII. 264), apparently < post-classical Latin microscopium (attributed to Demiscianus 1614) < micro- micro- comb. form + -scopium (in telescopium telescope n.). ",Italian,none,1742,1648,Modern English
tiny,midget,midget,no,"short, small",yes,yes,yes,least_relevant,"other entry: ""small person"" (noun)",midge,Germanic,Germanic,none,1816,eOE/OE/lOE,Old English
tiny,mini,mini,no,"as in little, as in miniature, as in minuscule, as in baby, as in small, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,miniature,Italian,Italian,min-,1963,a1586,Modern English
tiny,miniature,miniature,no,tiny,yes,yes,yes,most_relevant,"second entry: ""tiny hing"" (noun)",miniature,Italian,Italian,min-,1714,a1586,Modern English
tiny,minikin,minikin,no,"as in midget, as in miniature, as in petite, as in Lilliputian, as in pintsize, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,minikin,Dutch,Dutch,min-,1545,c1540,Middle English
tiny,minimum,,no,"least, lowest",yes,no,yes,least_relevant,"ther entry: ""lowest mount"" (noun)",,,,,,,
tiny,minuscular,minuscule,no,"as in tiny, as in wee, as in Lilliputian, as in pintsize, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,miniscule,"< French minuscule, adjective (1634 in sense B. 1, 1859 in sense B. 2) and noun (1690) < classical Latin minusculus somewhat smaller, rather small < minus minus adj. + -culus -cule suffix.",Latin,min-,1758,1701,Modern English
tiny,minuscule,minuscule,no,very smal,yes,yes,no,most_relevant,,miniscule,"< French minuscule, adjective (1634 in sense B. 1, 1859 in sense B. 2) and noun (1690) < classical Latin minusculus somewhat smaller, rather small < minus minus adj. + -culus -cule suffix.",Latin,min-,1758,1701,Modern English
tiny,minute,minute,no,very small,yes,yes,yes,least_relevant,"other entries: ""unimportant""; ""exact, precise""; ""brief time period"" (noun)",minute," < classical Latin minūtus small in size or amount, of little importance, finely divided, subtle, fine, involving detailed knowledge, spec. use of past participle of minuere to make small, diminish (see minuend n.). ",Latin,min-,?1440,?1440,Middle English
tiny,negligible,NA,no,insignificant,yes,no,no,least_relevant,,,,,,,,
tiny,pee-wee,wee,no,"as in tiny, as in wee, as in Lilliputian, as in pintsize, and so on",yes,yes,as in,least_relevant,,wee,English,English,wee;pee-wee,1877,a1400,Middle English
tiny,petite,petite,no,small,yes,yes,no,least_relevant,,petite,French,French,none,1766,French,Modern English
tiny,pint-sized,NA,yes,"as in miniature, as in miniscule, as in pocket, as in puny, and so on",yes,yes,as in,least_relevant,,,,,,,,
tiny,pocket,pocket,yes,"small, portable",yes,yes,yes,least_relevant,"other entries: ""cavity, pouch"" (noun); ""help oneself to something"" (verb)",pocket,French,French,none,?1576,1280,Middle English
tiny,pocket-size,NA,yes,"as in tiny, as in wee, as in Lilliputian, as in pintsize, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,,,,,,,
tiny,puny,pune,no,"small, insignificant",yes,yes,no,most_relevant,,puny,"French, variant of puisne",French,none,1548,1548,Middle English
tiny,slight,slight,no,"insignificant, small",yes,yes,yes,most_relevant,"other meanings: ""thin, small in buid""; ""insult, disrespect"" (noun); ""offed, insult"" (verb)",slight,Scandinavian,Scandinavian,none,a1400,a1400,Middle English
tiny,teensy,teens,no,tiny,yes,yes,no,least_relevant,,tine,unknown,unknown,teeny;teensy-weensy;tiny,1856,a1400-50,Middle English
tiny,teensy-weensy,teens,no,tiny,yes,yes,no,least_relevant,,tine,unknown,unknown,teeny;teensy-weensy;tiny,1872,a1400-50,Middle English
tiny,teeny,teen,no,small,yes,yes,no,most_relevant,,tine,unknown,unknown,teeny;teensy-weensy;tiny,1594,a1400-50,Middle English
tiny,tiny,tine,no,very small,yes,yes,no,most_relevant,,tine,unknown,unknown,teeny;teensy-weensy;tiny,1598,a1400-50,Middle English
tiny,trifling,NA,no,"insignificant, worthless",yes,no,no,least_relevant,,,,,,,,
tiny,wee,wee,no,"very small, tiny",yes,yes,no,least_relevant,,wee,English,English,wee;pee-wee,a1525,a1400,Middle English
tiny,yea big,NA,yes,"as in stunted, as in tiny, as in Lilliputian, as in pintsize, and so on",yes,yes,as in,least_relevant,all separated meanings relate to size,,,,,,,
